Project_Name,Transacted_Price,Unit_Price,Sale_Date
LEONIE TOWERS,5618000,1933,1 Feb 2023
GRANGE HEIGHTS,3850000,2021,1 Feb 2023
CAIRNHILL CREST,4288888,2475,1 Feb 2023
THE RISE @ OXLEY - RESIDENCES,1838000,2247,1 Feb 2023
KOPAR AT NEWTON,3887660,2543,1 Feb 2023
HAUS ON HANDY,1930000,2637,1 Feb 2023
HAUS ON HANDY,2810000,2901,1 Feb 2023
LEONIE TOWERS,6300000,1938,1 Feb 2023
OUE TWIN PEAKS,2450000,2323,1 Feb 2023
IRWELL HILL RESIDENCES,1513000,3056,1 Feb 2023
LEONIE GARDENS,2830000,1633,1 Feb 2023
HAUS ON HANDY,2662000,2748,1 Feb 2023
HAUS ON HANDY,2639000,2786,1 Feb 2023
IRWELL HILL RESIDENCES,2002000,3000,1 Feb 2023
MACKENZIE 88,768000,1586,1 Feb 2023
CITYVISTA RESIDENCES,5688800,2025,1 Feb 2023
ORCHARD COURT,2450000,1686,1 Feb 2023
HAUS ON HANDY,2607000,2752,1 Feb 2023
THE AVENIR,1668000,3099,1 Feb 2023
THE EDGE ON CAIRNHILL,5028888,2348,1 Feb 2023
KOPAR AT NEWTON,4322780,2376,1 Feb 2023
THE ATELIER,2388888,2740,1 Feb 2023
THE ATELIER,2550000,2787,1 Feb 2023
THE ATELIER,3350000,2829,1 Feb 2023
RIVERIA GARDENS,3460000,2417,1 Feb 2023
LA CRYSTAL,1875000,2074,1 Feb 2023
SKYLINE 360 @ SAINT THOMAS WALK,10200000,2596,1 Feb 2023
THE ATELIER,1470000,2678,1 Feb 2023
SOPHIA HILLS,1710000,2011,1 Feb 2023
ESPADA,990000,2628,1 Feb 2023
HAUS ON HANDY,3252000,2850,1 Feb 2023
CITYVISTA RESIDENCES,5750000,2047,1 Feb 2023
MARTIN MODERN,2906800,2873,1 Feb 2023
THE AVENIR,6736000,3259,1 Feb 2023
CAIRNHILL 16,2148200,2772,1 Feb 2023
THE ATELIER,3488000,2723,1 Feb 2023
THE ATELIER,2450000,2678,1 Feb 2023
THE ATELIER,3408000,2661,1 Feb 2023
SOPHIA HILLS,2920000,1952,1 Feb 2023
HAUS ON HANDY,1821000,2643,1 Feb 2023
KOPAR AT NEWTON,4343360,2388,1 Feb 2023
KLIMT CAIRNHILL,2885000,3229,1 Feb 2023
KLIMT CAIRNHILL,2888000,3233,1 Feb 2023
KLIMT CAIRNHILL,2920000,3268,1 Feb 2023
KLIMT CAIRNHILL,2920000,3268,1 Feb 2023
KLIMT CAIRNHILL,5080000,3548,1 Feb 2023
KLIMT CAIRNHILL,27500000,4645,1 Feb 2023
KOPAR AT NEWTON,4015060,2503,1 Feb 2023
THE INSPIRA,2200000,2349,1 Feb 2023
OUE TWIN PEAKS,1255000,2200,1 Feb 2023
EURO-ASIA COURT,2750000,2028,1 Feb 2023
TRIBECA,3168000,2299,1 Feb 2023
THE ATELIER,1539112,2804,1 Feb 2023
IRWELL HILL RESIDENCES,1810000,2950,1 Feb 2023
HAUS ON HANDY,2678000,2764,1 Feb 2023
SUITES AT ORCHARD,1750000,2111,1 Feb 2023
SOPHIA HILLS,2400000,2123,1 Feb 2023
CAIRNHILL 16,2103400,2714,1 Feb 2023
KLIMT CAIRNHILL,7680000,3736,1 Feb 2023
THE AVENIR,1628000,3025,1 Feb 2023
HILL HOUSE,1798000,2880,1 Feb 2023
THE ATELIER,1494112,2722,1 Feb 2023
THE ATELIER,3243112,2764,1 Feb 2023
THE COSMOPOLITAN,2800000,2454,1 Feb 2023
THE QUAYSIDE,2298000,1750,1 Feb 2023
THE AVENIR,1588000,3011,1 Feb 2023
SOPHIA HILLS,1455000,2080,1 Feb 2023
HAUS ON HANDY,2698000,2754,1 Feb 2023
HAUS ON HANDY,2714000,2771,1 Feb 2023
111 EMERALD HILL,5150000,2614,1 Feb 2023
THE AVENIR,1588000,3011,1 Feb 2023
THE AVENIR,1608000,3049,1 Feb 2023
NEW FUTURA,4400000,4008,1 Feb 2023
KLIMT CAIRNHILL,7650000,3721,1 Feb 2023
GRANGE INFINITE,7180000,2658,1 Feb 2023
MIRAGE TOWER,3280000,2192,1 Feb 2023
VIVACE,870000,2184,1 Feb 2023
THE ATELIER,1470112,2678,1 Feb 2023
HAUS ON HANDY,2722000,2779,1 Feb 2023
MARTIN NO 38,9218808,2099,1 Feb 2023
THE AVENIR,1628000,3025,1 Feb 2023
KLIMT CAIRNHILL,7500000,3648,1 Feb 2023
KLIMT CAIRNHILL,6960000,3385,1 Feb 2023
PARC SOPHIA,1180000,1768,1 Feb 2023
SKYLINE @ ORCHARD BOULEVARD,20234000,5371,1 Feb 2023
CAIRNHILL CREST,2550000,2115,1 Feb 2023
THE INSPIRA,2160000,2280,1 Feb 2023
PATERSON SUITES,11850000,2446,1 Feb 2023
WATERSCAPE AT CAVENAGH,2760000,2102,1 Feb 2023
KLIMT CAIRNHILL,7700000,3745,1 Jan 2023
RIVERGATE,6230000,2999,1 Jan 2023
THE BOUTIQ,2400000,1890,1 Jan 2023
CAIRNHILL 16,2868200,2719,1 Jan 2023
CAIRNHILL 16,3497300,2708,1 Jan 2023
KLIMT CAIRNHILL,7700000,3745,1 Jan 2023
HAUS ON HANDY,2631000,2778,1 Jan 2023
PATERSON SUITES,4500000,2680,1 Jan 2023
VISIONCREST,2200000,2222,1 Jan 2023
SOPHIA HILLS,1021021,2206,1 Jan 2023
KLIMT CAIRNHILL,7720000,3755,1 Jan 2023
THE LAURELS,2360000,2674,1 Jan 2023
THE ATELIER,2634112,2984,1 Jan 2023
IRWELL HILL RESIDENCES,1485000,2999,1 Jan 2023
KLIMT CAIRNHILL,5750000,3843,1 Jan 2023
KLIMT CAIRNHILL,7680000,3736,1 Jan 2023
KLIMT CAIRNHILL,7680000,3736,1 Jan 2023
KLIMT CAIRNHILL,7680000,3736,1 Jan 2023
PARC EMILY,1068000,1804,1 Jan 2023
CAIRNHILL 16,2005245,2587,1 Jan 2023
CAIRNHILL 16,2033061,2623,1 Jan 2023
THE ATELIER,2305112,2644,1 Jan 2023
MARTIN NO 38,7500000,2049,1 Jan 2023
KLIMT CAIRNHILL,7680000,3736,1 Jan 2023
MACKENZIE 138,755000,1559,1 Jan 2023
CAIRNHILL 16,2087600,2694,1 Jan 2023
HAUS ON HANDY,1826000,2651,1 Jan 2023
KLIMT CAIRNHILL,9700000,4096,1 Jan 2023
HILL HOUSE,1366000,3022,1 Jan 2023
PATERSON LINC,1928000,2357,1 Jan 2023
THE COSMOPOLITAN,2880000,2524,1 Jan 2023
HAUS ON HANDY,1816000,2636,1 Jan 2023
CAVENAGH HOUSE,3100000,1895,1 Jan 2023
1919,1380000,2035,1 Jan 2023
CAIRNHILL CREST,3800000,2193,1 Jan 2023
CAIRNHILL PLAZA,4600000,2006,1 Jan 2023
CAIRNHILL 16,2863000,2714,1 Jan 2023
THE CENTREPOINT,2100000,2827,1 Jan 2023
HAUS ON HANDY,1862000,2746,1 Jan 2023
HAUS ON HANDY,1873000,2762,1 Jan 2023
HAUS ON HANDY,1762000,2728,1 Jan 2023
KLIMT CAIRNHILL,7780000,3784,1 Jan 2023
IRWELL HILL RESIDENCES,1479000,2987,1 Jan 2023
KLIMT CAIRNHILL,5500000,3842,1 Jan 2023
KLIMT CAIRNHILL,9800000,4138,1 Jan 2023
THE LIGHT @ CAIRNHILL,2900000,2343,1 Jan 2023
VIDA,1070000,2029,1 Jan 2023
LEONIE SUITES,1800000,1944,1 Jan 2023
OXLEY RESIDENCE,5900000,2323,1 Jan 2023
HAUS ON HANDY,2615000,2761,1 Jan 2023
HAUS ON HANDY,1772000,2744,1 Jan 2023
THE LAURELS,3700000,2818,1 Jan 2023
KLIMT CAIRNHILL,9750000,4117,1 Jan 2023
THE PATERSON,3500000,2463,1 Jan 2023
KLIMT CAIRNHILL,9950000,4202,1 Jan 2023
KOPAR AT NEWTON,4304520,2366,1 Jan 2023
KOPAR AT NEWTON,4019400,2506,1 Jan 2023
IRWELL HILL RESIDENCES,1231000,3091,1 Jan 2023
HAUS ON HANDY,1882000,2775,1 Jan 2023
KLIMT CAIRNHILL,7720240,3755,1 Jan 2023
HAUS ON HANDY,1767000,2736,1 Jan 2023
SCOTTS SQUARE,2760000,2914,1 Jan 2023
HILLTOPS,6619000,4270,1 Jan 2023
BELLE VUE RESIDENCES,5400000,1656,1 Jan 2023
ST THOMAS SUITES,4445000,2443,1 Jan 2023
CAIRNHILL 16,2042800,2636,1 Jan 2023
HAUS ON HANDY,2686000,2773,1 Jan 2023
PARC EMILY,2000000,1998,1 Jan 2023
SOPHIA RESIDENCE,3400000,1869,1 Dec 2022
CAIRNHILL 16,2848500,2700,1 Dec 2022
KOPAR AT NEWTON,4097610,2253,1 Dec 2022
THE RISE @ OXLEY - RESIDENCES,1880000,2298,1 Dec 2022
EMILY RESIDENCE,1370000,1446,1 Dec 2022
KLIMT CAIRNHILL,10098000,4264,1 Dec 2022
MARTIN MODERN,2650000,2619,1 Dec 2022
TRIBECA,1300000,2516,1 Dec 2022
SOPHIA HILLS,1460000,2087,1 Dec 2022
YONG AN PARK,2400000,2347,1 Dec 2022
HAUS ON HANDY,2694000,2781,1 Dec 2022
THE TRILLIUM,7100000,2971,1 Dec 2022
TRIBECA,3380000,2473,1 Dec 2022
8 @ MOUNT SOPHIA,1380000,1425,1 Dec 2022
KOPAR AT NEWTON,3868920,2412,1 Dec 2022
OUE TWIN PEAKS,4314760,2690,1 Dec 2022
THE PATERSON,2980000,2450,1 Dec 2022
LUMA,2200000,1875,1 Dec 2022
URBANA,3380000,2574,1 Dec 2022
VIVACE,984000,2177,1 Dec 2022
YONG AN PARK,4300000,2350,1 Dec 2022
8 @ MOUNT SOPHIA,1365000,1585,1 Dec 2022
ROBERTSON EDGE,1020000,2060,1 Dec 2022
SOPHIA HILLS,1508000,2123,1 Dec 2022
NEW FUTURA,12000000,4459,1 Dec 2022
MARTIN PLACE RESIDENCES,3580000,2520,1 Dec 2022
PATERSON SUITES,13800000,2071,1 Dec 2022
THE AVENIR,6765000,3273,1 Dec 2022
HILL HOUSE,1305000,3031,1 Dec 2022
SOPHIA HILLS,1460000,2055,1 Dec 2022
LEONIE SUITES,1080000,1568,1 Dec 2022
ST THOMAS SUITES,4788000,2379,1 Dec 2022
THE ORCHARD RESIDENCES,8000000,3245,1 Dec 2022
RIVERGATE,4300000,2794,1 Dec 2022
THE AVENIR,7691000,3190,1 Dec 2022
THE ATELIER,1491000,2716,1 Dec 2022
IRWELL HILL RESIDENCES,1980000,3016,1 Dec 2022
ASPEN HEIGHTS,2300000,2035,1 Dec 2022
CAIRNHILL CREST,5900000,1903,1 Dec 2022
OLEANAS RESIDENCE,3300000,2017,1 Dec 2022
BELLE VUE RESIDENCES,4200000,2054,1 Dec 2022
HAUS ON HANDY,1893000,2791,1 Dec 2022
HELIOS RESIDENCES,3220000,2452,1 Dec 2022
GAMBIER COURT,2500000,1683,1 Dec 2022
ESTILO,930000,1800,1 Dec 2022
OUE TWIN PEAKS,2200000,2086,1 Dec 2022
HAUS ON HANDY,1778000,2753,1 Nov 2022
RIVERIA GARDENS,3250000,2270,1 Nov 2022
WATERMARK ROBERTSON QUAY,2321000,2200,1 Nov 2022
HAUS ON HANDY,1782000,2759,1 Nov 2022
OUE TWIN PEAKS,1238000,2170,1 Nov 2022
ESTILO,1035000,1814,1 Nov 2022
THE IMPERIAL,2280000,2328,1 Nov 2022
8 @ MOUNT SOPHIA,2738000,1047,1 Nov 2022
LA CRYSTAL,1961888,2048,1 Nov 2022
THE MORNINGSIDE,5000000,2074,1 Nov 2022
THE TATE RESIDENCES,9550000,2967,1 Nov 2022
LUCKY PLAZA,1850000,2232,1 Nov 2022
SCOTTS SQUARE,2060000,3244,1 Nov 2022
CAIRNHILL NINE,1522000,2571,1 Nov 2022
IRWELL HILL RESIDENCES,1802000,2937,1 Nov 2022
THE QUAYSIDE,2335000,1572,1 Nov 2022
STARLIGHT SUITES,1660000,1952,1 Nov 2022
SOPHIA RESIDENCE,1400000,1758,1 Nov 2022
8 @ MOUNT SOPHIA,1382000,1605,1 Nov 2022
111 EMERALD HILL,4812400,2269,1 Nov 2022
THE METZ,2760000,2699,1 Nov 2022
THE ATELIER,3283000,2798,1 Nov 2022
HAUS ON HANDY,3014000,2692,1 Nov 2022
KOPAR AT NEWTON,4472820,2459,1 Nov 2022
THE AVENIR,7150000,3478,1 Nov 2022
THE VERMONT ON CAIRNHILL,1329000,2520,1 Nov 2022
OUE TWIN PEAKS,1300000,2279,1 Nov 2022
CAIRNHILL NINE,2700000,2613,1 Nov 2022
VISIONCREST,1498000,2174,1 Nov 2022
THE VERMONT ON CAIRNHILL,4350000,2542,1 Nov 2022
SUITES AT ORCHARD,1200000,1956,1 Nov 2022
MIRAGE TOWER,2740000,2233,1 Nov 2022
CAVENAGH HOUSE,3420000,2011,1 Nov 2022
HAUS ON HANDY,2738000,2795,1 Nov 2022
IRWELL HILL RESIDENCES,1798000,2983,1 Nov 2022
WILKIE 80,1068000,1908,1 Nov 2022
ROBERTSON BLUE,2700000,2181,1 Nov 2022
HILL HOUSE,1399000,3095,1 Nov 2022
HELIOS RESIDENCES,3980000,2340,1 Nov 2022
THE AVENIR,1706000,3170,1 Nov 2022
HILL HOUSE,1359000,3006,1 Nov 2022
HILL HOUSE,2097000,2783,1 Nov 2022
HILL HOUSE,1780020,2851,1 Nov 2022
HILL HOUSE,1379000,3050,1 Nov 2022
HILL HOUSE,1381000,3055,1 Nov 2022
HILL HOUSE,1389000,3072,1 Nov 2022
HILL HOUSE,1815660,2908,1 Nov 2022
HILL HOUSE,1324000,3075,1 Nov 2022
HILL HOUSE,1827540,2927,1 Nov 2022
HILL HOUSE,1870000,2995,1 Nov 2022
HILL HOUSE,1364000,3168,1 Nov 2022
THE ATELIER,3258000,2777,1 Nov 2022
IRWELL HILL RESIDENCES,1790000,2970,1 Nov 2022
RV POINT,960000,1982,1 Nov 2022
MARTIN MODERN,2880000,2649,1 Nov 2022
RIVERGATE,4800000,3097,1 Nov 2022
ESPADA,1228000,2194,1 Nov 2022
SOPHIA HILLS,1390000,1987,1 Nov 2022
THE AVENIR,2739000,3393,1 Nov 2022
THE AVENIR,3938000,3451,1 Nov 2022
THE PIER AT ROBERTSON,1530000,2256,1 Nov 2022
PARC SOPHIA,900000,1900,1 Nov 2022
CAVENAGH GARDENS,2370000,1529,1 Nov 2022
ORCHARD SCOTTS,1910000,1888,1 Nov 2022
HELIOS RESIDENCES,3058000,2329,1 Nov 2022
MARTIN MODERN,2800000,2767,1 Nov 2022
MACKENZIE 138,730000,1695,1 Nov 2022
THE AVENIR,2752000,3409,1 Nov 2022
LEONIE SUITES,1138888,1653,1 Nov 2022
HAUS ON HANDY,1888000,2784,1 Nov 2022
IRWELL HILL RESIDENCES,1794000,2924,1 Nov 2022
ORCHARD SCOTTS,3120000,1666,1 Nov 2022
KOPAR AT NEWTON,1721780,2806,1 Nov 2022
KOPAR AT NEWTON,3908520,2557,1 Nov 2022
CITYVISTA RESIDENCES,5200000,1980,1 Nov 2022
LEONIE SUITES,1800000,1944,1 Nov 2022
IRWELL HILL RESIDENCES,1237000,3106,1 Nov 2022
HAUS ON HANDY,1619000,2593,1 Nov 2022
MARTIN MODERN,2650000,2619,1 Nov 2022
THE AVENIR,2714000,3362,1 Nov 2022
THE AVENIR,3920000,3436,1 Nov 2022
THE COSMOPOLITAN,3700000,2644,1 Nov 2022
SOPHIA RESIDENCE,3400000,1869,1 Nov 2022
SOPHIA HILLS,1436000,2052,1 Nov 2022
IRWELL HILL RESIDENCES,1507000,3044,1 Nov 2022
HAUS ON HANDY,1739000,2785,1 Nov 2022
THE INSPIRA,2800000,2302,1 Nov 2022
THE ORCHARD RESIDENCES,9100000,3190,1 Nov 2022
HAUS ON HANDY,2599000,2744,1 Nov 2022
SOPHIA RESIDENCE,1400000,1758,1 Nov 2022
THE AVENIR,1668000,3099,1 Nov 2022
TRIBECA,3250000,2359,1 Nov 2022
OLEANAS RESIDENCE,2450000,2147,1 Oct 2022
WATERSCAPE AT CAVENAGH,1250000,2111,1 Oct 2022
HAUS ON HANDY,1734000,2777,1 Oct 2022
CAIRNHILL CREST,4100000,2366,1 Oct 2022
HAUS ON HANDY,2730000,2787,1 Oct 2022
VIDA,1080000,2090,1 Oct 2022
ROBERTSON 100,2470000,2105,1 Oct 2022
KOPAR AT NEWTON,3926340,2448,1 Oct 2022
LIV ON WILKIE,1100000,1965,1 Oct 2022
IRWELL HILL RESIDENCES,1851000,2965,1 Oct 2022
IRWELL HILL RESIDENCES,1985000,3023,1 Oct 2022
THE AVENIR,7606000,3155,1 Oct 2022
THE SCOTTS TOWER,1300000,1980,1 Oct 2022
THE AVENIR,7127000,3467,1 Oct 2022
THE AVENIR,6945000,3378,1 Oct 2022
THE AVENIR,6973000,3392,1 Oct 2022
TRIBECA,3370000,1550,1 Oct 2022
TRIBECA,2550000,2468,1 Oct 2022
THE TRILLIUM,4688000,2608,1 Oct 2022
TOWNHOUSE APARTMENTS,2388000,1115,1 Oct 2022
ESPADA,1408000,2144,1 Oct 2022
LANGSTON VILLE,1780000,1901,1 Oct 2022
ORCHARD SCOTTS,4100000,1797,1 Oct 2022
HAUS ON HANDY,1619000,2593,1 Oct 2022
HAUS ON HANDY,2647000,2794,1 Oct 2022
HAUS ON HANDY,1619000,2593,1 Oct 2022
THE AVENIR,3872000,3394,1 Oct 2022
IRWELL HILL RESIDENCES,1501000,3031,1 Oct 2022
THE AVENIR,1657000,3142,1 Oct 2022
TOWNHOUSE APARTMENTS,2670000,1117,1 Oct 2022
CAIRNHILL CREST,1750000,2139,1 Oct 2022
OXLEY EDGE,880000,2210,1 Oct 2022
THE AVENIR,7004000,3407,1 Oct 2022
HAUS ON HANDY,1787000,2767,1 Oct 2022
KOPAR AT NEWTON,4284720,2355,1 Oct 2022
MACKENZIE 88,810000,1710,1 Oct 2022
VIDA,1160000,2199,1 Oct 2022
ONE DEVONSHIRE,2400000,2654,1 Oct 2022
ROBERTSON 100,1900000,2127,1 Oct 2022
8 @ MOUNT SOPHIA,1400000,1626,1 Oct 2022
SOPHIA HILLS,1222000,2142,1 Oct 2022
RIVERGATE,4800000,2703,1 Oct 2022
111 EMERALD HILL,5100000,2589,1 Oct 2022
ONE DEVONSHIRE,3250000,2720,1 Oct 2022
MARTIN NO 38,2900000,2566,1 Oct 2022
THE AVENIR,3696000,3239,1 Oct 2022
HILLTOPS,8529000,3585,1 Oct 2022
RIVERIA GARDENS,3300000,2305,1 Oct 2022
PARC CENTENNIAL,1920000,1749,1 Oct 2022
VISIONCREST,2850000,2323,1 Oct 2022
SOPHIA HILLS,2140000,2115,1 Oct 2022
SCOTTS SQUARE,2100000,3307,1 Oct 2022
MIRAGE TOWER,2950000,2158,1 Oct 2022
THE LAURELS,2490000,2821,1 Oct 2022
THE ATELIER,2435000,2793,1 Oct 2022
HAUS ON HANDY,2710000,2797,1 Oct 2022
KOPAR AT NEWTON,1376900,2665,1 Oct 2022
KOPAR AT NEWTON,1386700,2684,1 Oct 2022
KOPAR AT NEWTON,3646170,2273,1 Oct 2022
KOPAR AT NEWTON,3850110,2401,1 Oct 2022
HAUS ON HANDY,1810000,2627,1 Oct 2022
KOPAR AT NEWTON,1386700,2684,1 Oct 2022
8 @ MOUNT SOPHIA,1360000,1599,1 Oct 2022
TOWNHOUSE APARTMENTS,2450000,1100,1 Oct 2022
ONE OXLEY RISE,1440000,2027,1 Oct 2022
THE MKZ,925000,1868,1 Oct 2022
ESPADA,918000,2665,1 Oct 2022
KOPAR AT NEWTON,1680700,2739,1 Oct 2022
ORCHARD TOWERS,3060000,1553,1 Oct 2022
WILKIE STUDIO,2080000,1725,1 Oct 2022
ONE OXLEY RISE,1460000,2055,1 Oct 2022
8 @ MOUNT SOPHIA,2800000,1121,1 Oct 2022
ORCHARD COURT,1950000,1342,1 Oct 2022
SOPHIA HILLS,1380000,1972,1 Oct 2022
HAUS ON HANDY,1935000,2644,1 Oct 2022
HAUS ON HANDY,2702000,2789,1 Sep 2022
KOPAR AT NEWTON,4491600,2469,1 Sep 2022
IRWELL HILL RESIDENCES,2020000,3027,1 Sep 2022
KOPAR AT NEWTON,3777840,2472,1 Sep 2022
THE EDGE ON CAIRNHILL,5000000,2346,1 Sep 2022
THE MARQ ON PATERSON HILL,14000000,4580,1 Sep 2022
HAUS ON HANDY,1898000,2799,1 Sep 2022
THE AVENIR,1693000,3146,1 Sep 2022
SCOTTS HIGHPARK,3080000,1734,1 Sep 2022
THE ORCHARD RESIDENCES,8700000,3050,1 Sep 2022
ASPEN HEIGHTS,1980000,1769,1 Sep 2022
LIV ON WILKIE,1230000,2197,1 Sep 2022
ORCHARD COURT,2680000,1858,1 Sep 2022
WATERMARK ROBERTSON QUAY,2150000,2038,1 Sep 2022
THE AVENIR,6818000,3316,1 Sep 2022
8 RODYK,3133000,2347,1 Sep 2022
TIARA,3300000,2190,1 Sep 2022
THE AVENIR,6654000,3237,1 Sep 2022
ROBERTSON EDGE,850000,2078,1 Sep 2022
HAUS ON HANDY,1699000,2675,1 Sep 2022
THE AVENIR,6627000,3223,1 Sep 2022
IRWELL HILL RESIDENCES,1448000,2924,1 Sep 2022
IRWELL HILL RESIDENCES,1781000,2955,1 Sep 2022
THE AVENIR,6736000,3276,1 Sep 2022
IRWELL HILL RESIDENCES,4150000,2623,1 Sep 2022
RESIDENCES @ KILLINEY,3600000,2323,1 Sep 2022
MARTIN NO 38,2850000,2522,1 Sep 2022
CAIRNHILL RESIDENCES,2938000,2527,1 Sep 2022
THE VERMONT ON CAIRNHILL,3390000,2540,1 Sep 2022
RESIDENCES AT 338A,2670000,2033,1 Sep 2022
KOPAR AT NEWTON,1743390,2841,1 Sep 2022
BELLE VUE RESIDENCES,4930000,1983,1 Sep 2022
THE AVENIR,6764000,3290,1 Sep 2022
IRWELL HILL RESIDENCES,1993000,2986,1 Sep 2022
THE AVENIR,7200000,3502,1 Sep 2022
IRWELL HILL RESIDENCES,1225000,3076,1 Sep 2022
ESPADA,1620000,2427,1 Sep 2022
STARLIGHT SUITES,1230000,2197,1 Sep 2022
VISIONCREST,1500000,2177,1 Sep 2022
WILKIE REGENCY,1550000,1823,1 Sep 2022
HIJAUAN,1800000,1967,1 Sep 2022
THE MKZ,985000,1906,1 Sep 2022
IRWELL HILL RESIDENCES,1218000,3058,1 Sep 2022
KOPAR AT NEWTON,3890700,2545,1 Sep 2022
THE AVENIR,7227000,3515,1 Sep 2022
1919,1660000,1928,1 Sep 2022
KOPAR AT NEWTON,1390950,2692,1 Sep 2022
SOPHIA HILLS,1451000,2106,1 Sep 2022
HELIOS RESIDENCES,4200000,2470,1 Sep 2022
CENTENNIA SUITES,6510000,2936,1 Sep 2022
CASA CAIRNHILL,3200000,2079,1 Sep 2022
HAUS ON HANDY,1907000,2605,1 Sep 2022
THE INSPIRA,2650000,2122,1 Sep 2022
HAUS ON HANDY,1724000,2761,1 Sep 2022
HILLTOPS,8566000,3585,1 Sep 2022
STARLIGHT SUITES,1660000,1952,1 Sep 2022
HILLTOPS,12126000,4219,1 Sep 2022
BELLE VUE RESIDENCES,4200000,2087,1 Sep 2022
THE PEAK @ CAIRNHILL I,1400000,2064,1 Sep 2022
1919,1590000,1588,1 Sep 2022
RIVERGATE,3800000,2522,1 Sep 2022
ESPADA,1088000,2407,1 Sep 2022
SOPHIA HILLS,1469000,2100,1 Sep 2022
PATERSON RESIDENCE,3950000,2640,1 Sep 2022
ORCHARD VIEW,7000000,2767,1 Sep 2022
HAUS ON HANDY,1729000,2769,1 Sep 2022
IRWELL HILL RESIDENCES,1971000,3002,1 Sep 2022
RIVERGATE,4125000,2572,1 Sep 2022
RESIDENCES @ KILLINEY,2510000,2332,1 Sep 2022
RIVERGATE,2818800,2700,1 Sep 2022
HAUS ON HANDY,1668000,2672,1 Sep 2022
SOPHIA HILLS,1420000,2030,1 Sep 2022
PARC EMILY,1100000,2004,1 Sep 2022
MARTIN PLACE RESIDENCES,4400000,2555,1 Sep 2022
THE AVENIR,7036000,3422,1 Sep 2022
SCOTTS SQUARE,2424200,3883,1 Sep 2022
THE MARQ ON PATERSON HILL,13380000,4331,1 Sep 2022
EMILY RESIDENCE,1100000,1648,1 Sep 2022
STARLIGHT SUITES,1640000,1929,1 Sep 2022
VIVACE,870000,2072,1 Sep 2022
ESPADA,1130000,2500,1 Sep 2022
WATERSCAPE AT CAVENAGH,2628888,2161,1 Sep 2022
WATERFORD RESIDENCE,2090000,1981,1 Sep 2022
KOPAR AT NEWTON,4406490,2422,1 Sep 2022
THE AVENIR,2764000,3424,1 Sep 2022
THE TRILLIUM,5450000,2458,1 Sep 2022
HILLTOPS,7930000,3319,1 Sep 2022
KOPAR AT NEWTON,3645180,2273,1 Sep 2022
KOPAR AT NEWTON,3791700,2364,1 Sep 2022
KOPAR AT NEWTON,3720420,2434,1 Sep 2022
RIVERGATE,5700000,2894,1 Sep 2022
OXLEY RESIDENCE,8800000,1897,1 Sep 2022
SOPHIA HILLS,1400000,2001,1 Sep 2022
VIDA,1080000,2048,1 Sep 2022
LUMA,2100000,1790,1 Sep 2022
THE IVERIA,2454000,2682,1 Aug 2022
KOPAR AT NEWTON,1366200,2644,1 Aug 2022
ASPEN HEIGHTS,3200000,1969,1 Aug 2022
VILLE ROYALE,3088000,1804,1 Aug 2022
VIDA,1730000,2061,1 Aug 2022
CAVENAGH HOUSE,3250000,1911,1 Aug 2022
ASPEN HEIGHTS,2810000,1800,1 Aug 2022
IRWELL HILL RESIDENCES,1976000,3009,1 Aug 2022
SCOTTS SQUARE,3080000,3252,1 Aug 2022
THE LUMOS,4050000,2308,1 Aug 2022
PARC SOPHIA,900000,1900,1 Aug 2022
IRWELL HILL RESIDENCES,1802000,2937,1 Aug 2022
KOPAR AT NEWTON,3571920,2227,1 Aug 2022
ESPADA,1400000,2168,1 Aug 2022
IRWELL HILL RESIDENCES,1495000,3019,1 Aug 2022
MARTIN MODERN,2690000,2659,1 Aug 2022
HAUS ON HANDY,2655000,2803,1 Aug 2022
PARC MACKENZIE,2100000,1573,1 Aug 2022
8 RODYK,2508800,2081,1 Aug 2022
KOPAR AT NEWTON,3718440,2318,1 Aug 2022
KOPAR AT NEWTON,3737250,2330,1 Aug 2022
PATERSON SUITES,5800000,2603,1 Aug 2022
THE PIER AT ROBERTSON,2405000,2303,1 Aug 2022
THE INSPIRA,2300000,2456,1 Aug 2022
HAUS ON HANDY,2718000,2806,1 Aug 2022
THE LAURELS,2580000,2577,1 Aug 2022
VIVACE,841000,1906,1 Aug 2022
LEONIE PARC VIEW,5000000,2484,1 Aug 2022
MARTIN MODERN,2285000,2621,1 Aug 2022
THE AVENIR,3658000,3206,1 Aug 2022
MARTIN NO 38,3500000,2622,1 Aug 2022
THE QUAYSIDE,2680900,1660,1 Aug 2022
SCOTTS 28,3980000,2433,1 Aug 2022
THE LUMOS,5737875,2359,1 Aug 2022
SOPHIA HILLS,1335000,1908,1 Aug 2022
KOPAR AT NEWTON,3813480,2495,1 Aug 2022
THE AVENIR,3694000,3238,1 Aug 2022
THE MORNINGSIDE,5500000,1965,1 Aug 2022
HAUS ON HANDY,1705000,2779,1 Aug 2022
HAUS ON HANDY,2663000,2811,1 Aug 2022
KOPAR AT NEWTON,1366200,2644,1 Aug 2022
HILLTOPS,6480000,3739,1 Aug 2022
ESPADA,923000,2680,1 Aug 2022
THE AVENIR,7095000,3451,1 Aug 2022
THE PIER AT ROBERTSON,1380000,1885,1 Aug 2022
THE CLAYMORE,8300000,3097,1 Aug 2022
ILLUMINAIRE ON DEVONSHIRE,1620000,2246,1 Aug 2022
