Project Name,Date,Rental psf
MARTIN MODERN,1 Jan 2023,10.00
BELLE VUE RESIDENCES,1 Jan 2023,4.07
THE PIER AT ROBERTSON,1 Jan 2023,6.92
CAIRNHILL NINE,1 Jan 2023,9.45
THE TRILLIUM,1 Jan 2023,4.96
336 RIVER VALLEY,1 Jan 2023,2.38
THE BEAUMONT,1 Jan 2023,3.59
WATERMARK ROBERTSON QUAY,1 Jan 2023,5.19
ASPEN HEIGHTS,1 Jan 2023,4.82
ONE DEVONSHIRE,1 Jan 2023,6.21
TIARA,1 Jan 2023,5.41
CITYVISTA RESIDENCES,1 Jan 2023,4.42
ESPADA,1 Jan 2023,11.43
THE COSMOPOLITAN,1 Jan 2023,6.96
LEONIE HILL RESIDENCES,1 Jan 2023,7.39
THE WHARF RESIDENCE,1 Jan 2023,7.14
CAIRNHILL CREST,1 Jan 2023,6.29
LEONIE GARDENS,1 Jan 2023,5.14
OLEANAS RESIDENCE,1 Jan 2023,3.49
URBAN SUITES,1 Jan 2023,8.39
GRANGE HEIGHTS,1 Jan 2023,2.71
RIVERIA GARDENS,1 Jan 2023,5.26
LEONIE HILL RESIDENCES,1 Jan 2023,4.26
ASPEN HEIGHTS,1 Jan 2023,5.03
SKYLINE @ ORCHARD BOULEVARD,1 Jan 2023,7.20
WATERMARK ROBERTSON QUAY,1 Jan 2023,5.19
ROBERTSON EDGE,1 Jan 2023,8.44
KILLINEY 118,1 Jan 2023,6.36
THE TRILLIUM,1 Jan 2023,5.33
ELIZABETH HEIGHTS,1 Jan 2023,3.22
URBAN SUITES,1 Jan 2023,7.10
ONE OXLEY RISE,1 Jan 2023,5.65
NEWTON EDGE,1 Jan 2023,5.47
1919,1 Jan 2023,7.09
LLOYD SIXTYFIVE,1 Jan 2023,7.24
THE METZ,1 Jan 2023,6.67
THE SUITES AT CENTRAL,1 Jan 2023,6.07
LA CRYSTAL,1 Jan 2023,4.19
LIV ON WILKIE,1 Jan 2023,7.78
LEONIE GARDENS,1 Jan 2023,4.47
TRIBECA,1 Jan 2023,6.00
8 @ MOUNT SOPHIA,1 Jan 2023,5.45
THE VERMONT ON CAIRNHILL,1 Jan 2023,7.14
ESTILO,1 Jan 2023,6.46
ROBERTSON 100,1 Jan 2023,6.84
ONE OXLEY RISE,1 Jan 2023,5.60
WILKIE REGENCY,1 Jan 2023,6.13
PATERSON RESIDENCE,1 Jan 2023,5.38
MARTIN MODERN,1 Jan 2023,10.00
LIV ON SOPHIA,1 Jan 2023,8.18
ESPADA,1 Jan 2023,7.38
THE COSMOPOLITAN,1 Jan 2023,6.96
8 @ MOUNT SOPHIA,1 Jan 2023,6.32
MARTIN PLACE RESIDENCES,1 Jan 2023,5.85
ILLUMINAIRE ON DEVONSHIRE,1 Jan 2023,7.78
LANGSTON VILLE,1 Jan 2023,3.66
PARC EMILY,1 Jan 2023,6.73
PARC EMILY,1 Jan 2023,7.09
UE SQUARE,1 Jan 2023,4.84
VALLEY HOUSE,1 Jan 2023,3.33
UE SQUARE,1 Jan 2023,4.69
THE MKZ,1 Jan 2023,6.91
THE PATERSON,1 Jan 2023,5.60
ESTILO,1 Jan 2023,6.91
SCOTTS SQUARE,1 Jan 2023,7.16
SUITES @ CAIRNHILL,1 Jan 2023,5.29
CAIRNHILL CREST,1 Jan 2023,5.95
LEONIE SUITES,1 Jan 2023,5.47
RIVERGATE,1 Jan 2023,6.49
ASPEN HEIGHTS,1 Jan 2023,5.19
THE PIER AT ROBERTSON,1 Jan 2023,6.67
THE METZ,1 Jan 2023,6.19
CAIRNHILL CREST,1 Jan 2023,5.54
RIVERGATE,1 Jan 2023,7.43
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,5.04
THE CLAYMORE,1 Jan 2023,5.47
1919,1 Jan 2023,5.38
DELFI ORCHARD,1 Jan 2023,4.40
SCOTTS SQUARE,1 Jan 2023,8.95
DELFI ORCHARD,1 Jan 2023,6.46
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,4.15
PARC SOPHIA,1 Jan 2023,4.31
THE PEAK @ CAIRNHILL II,1 Jan 2023,5.79
THE IMPERIAL,1 Jan 2023,6.21
THE CENTREPOINT,1 Jan 2023,8.38
THE IMPERIAL,1 Jan 2023,5.52
UE SQUARE,1 Jan 2023,5.26
HULLET RISE,1 Jan 2023,5.04
8 SAINT THOMAS,1 Jan 2023,8.94
PARC SOPHIA,1 Jan 2023,4.27
STARLIGHT SUITES,1 Jan 2023,6.00
PARC EMILY,1 Jan 2023,5.47
THE LAURELS,1 Jan 2023,6.71
GRANGE INFINITE,1 Jan 2023,5.35
YONG AN PARK,1 Jan 2023,3.05
ROBERTSON EDGE,1 Jan 2023,8.89
THE BAYRON,1 Jan 2023,4.70
ESPADA,1 Jan 2023,8.89
SOPHIA HILLS,1 Jan 2023,7.27
DEVONSHIRE RESIDENCES,1 Jan 2023,7.00
CAVENAGH COURT,1 Jan 2023,2.79
RIVERDALE RESIDENCE,1 Jan 2023,3.30
MARTIN PLACE RESIDENCES,1 Jan 2023,6.29
VISIONCREST,1 Jan 2023,5.65
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,7.38
PARC EMILY,1 Jan 2023,5.04
MARTIN PLACE RESIDENCES,1 Jan 2023,7.45
NIVEN SUITES,1 Jan 2023,6.36
LIV ON WILKIE,1 Jan 2023,5.82
TRIBECA,1 Jan 2023,7.82
ORCHARD SCOTTS,1 Jan 2023,5.73
MIRAGE TOWER,1 Jan 2023,7.82
LEONIE HILL RESIDENCES,1 Jan 2023,5.38
THE CENTREPOINT,1 Jan 2023,5.10
GRANGE HEIGHTS,1 Jan 2023,3.75
LUMA,1 Jan 2023,5.65
THE ABODE AT DEVONSHIRE,1 Jan 2023,4.00
UE SQUARE,1 Jan 2023,4.95
VISIONCREST,1 Jan 2023,4.59
WATERFORD RESIDENCE,1 Jan 2023,5.22
THE INSPIRA,1 Jan 2023,6.84
HILLTOPS,1 Jan 2023,9.68
CAIRNHILL CREST,1 Jan 2023,4.57
WATERSCAPE AT CAVENAGH,1 Jan 2023,3.76
THE IMPERIAL,1 Jan 2023,5.66
ROBERTSON EDGE,1 Jan 2023,7.78
HOLLYWOOD APARTMENTS,1 Jan 2023,4.21
ORCHARD SCOTTS,1 Jan 2023,5.52
ORCHARD SCOTTS,1 Jan 2023,5.76
8 SAINT THOMAS,1 Jan 2023,6.18
SOPHIA RESIDENCE,1 Jan 2023,4.69
THE MORNINGSIDE,1 Jan 2023,3.09
MACKENZIE 88,1 Jan 2023,6.00
WATERMARK ROBERTSON QUAY,1 Jan 2023,4.84
CAVENAGH LODGE,1 Jan 2023,4.07
RIVERSIDE 48,1 Jan 2023,5.29
ASPEN HEIGHTS,1 Jan 2023,5.19
SCOTTS SQUARE,1 Jan 2023,8.31
HULLET RISE,1 Jan 2023,5.20
THE LIGHT @ CAIRNHILL,1 Jan 2023,6.30
ESPADA,1 Jan 2023,10.86
THE BOTANIC ON LLOYD,1 Jan 2023,5.51
ROBERTSON 100,1 Jan 2023,5.29
OUE TWIN PEAKS,1 Jan 2023,9.45
THE CLAYMORE,1 Jan 2023,5.82
THE CATHAY RESIDENCE,1 Jan 2023,5.80
EMERALD HILL CONSERVATION AREA,1 Jan 2023,5.39
MIRAGE TOWER,1 Jan 2023,5.26
JIA,1 Jan 2023,3.87
PARC EMILY,1 Jan 2023,5.26
PATERSON LINC,1 Jan 2023,5.29
THE METZ,1 Jan 2023,7.62
ASPEN HEIGHTS,1 Jan 2023,5.22
STARLIGHT SUITES,1 Jan 2023,7.06
SOPHIA HILLS,1 Jan 2023,7.60
THE LAURELS,1 Jan 2023,7.73
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,2.52
8 @ MOUNT SOPHIA,1 Jan 2023,4.38
VALLEY HOUSE,1 Jan 2023,3.47
THE IMPERIAL,1 Jan 2023,5.86
OUE TWIN PEAKS,1 Jan 2023,7.64
CASA CAIRNHILL,1 Jan 2023,3.10
ORCHARD SCOTTS,1 Jan 2023,7.47
ROBERTSON 100,1 Jan 2023,7.37
MACKENZIE 88,1 Jan 2023,4.59
ASPEN HEIGHTS,1 Jan 2023,5.81
OUE TWIN PEAKS,1 Jan 2023,8.89
SUITES AT ORCHARD,1 Jan 2023,7.65
8 HULLET,1 Jan 2023,11.62
THE SCOTTS TOWER,1 Jan 2023,6.41
CAIRNHILL NINE,1 Jan 2023,10.27
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,1.70
MARTIN PLACE RESIDENCES,1 Jan 2023,6.09
SCOTTS 28,1 Jan 2023,5.07
UE SQUARE,1 Jan 2023,3.81
CAVENAGH GARDENS,1 Jan 2023,2.45
MIRAGE TOWER,1 Jan 2023,4.51
THE REGALIA,1 Jan 2023,6.43
RIVERSIDE 48,1 Jan 2023,5.29
THE LIGHT @ CAIRNHILL,1 Jan 2023,5.76
UE SQUARE,1 Jan 2023,5.33
THE VERV @ RV,1 Jan 2023,6.48
THE SCOTTS TOWER,1 Jan 2023,8.38
MARTIN PLACE RESIDENCES,1 Jan 2023,6.67
RIVERGATE,1 Jan 2023,7.33
SCOTTS SQUARE,1 Jan 2023,8.32
ASPEN HEIGHTS,1 Jan 2023,5.22
OXLEY EDGE,1 Jan 2023,8.44
CASA CAIRNHILL,1 Jan 2023,4.45
PARC SOPHIA,1 Jan 2023,4.77
ST THOMAS SUITES,1 Jan 2023,7.80
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,5.38
ST THOMAS VILLE,1 Jan 2023,4.21
THE BOUTIQ,1 Jan 2023,6.91
URBAN SUITES,1 Jan 2023,5.37
THE CLAYMORE,1 Jan 2023,5.68
LANGSTON VILLE,1 Jan 2023,4.42
THE BAYRON,1 Jan 2023,4.21
LANGSTON VILLE,1 Jan 2023,4.11
THE CENTREPOINT,1 Jan 2023,5.07
NEW FUTURA,1 Jan 2023,7.30
OXLEY MANSION,1 Jan 2023,3.68
THE LAURELS,1 Jan 2023,6.00
PEACE CENTRE / MANSIONS,1 Jan 2023,1.71
SOPHIA HILLS,1 Jan 2023,4.10
HELIOS RESIDENCES,1 Jan 2023,5.63
ROBERTSON EDGE,1 Jan 2023,9.11
PATERSON RESIDENCE,1 Jan 2023,5.56
LEONIE CONDOTEL,1 Jan 2023,3.98
CAVENAGH LODGE,1 Jan 2023,3.29
ASPEN HEIGHTS,1 Jan 2023,5.26
YONG AN PARK,1 Jan 2023,5.71
HELIOS RESIDENCES,1 Jan 2023,5.92
OUE TWIN PEAKS,1 Jan 2023,7.64
HILLTOPS,1 Jan 2023,7.60
SCOTTS SQUARE,1 Jan 2023,9.23
BELLE VUE RESIDENCES,1 Jan 2023,6.98
PARC EMILY,1 Jan 2023,4.95
THE BOUTIQ,1 Jan 2023,5.88
BELLE VUE RESIDENCES,1 Jan 2023,4.88
283 STUDIO,1 Jan 2023,2.64
CAIRNHILL NINE,1 Jan 2023,9.07
PARC EMILY,1 Jan 2023,5.64
RIVA LODGE,1 Jan 2023,5.22
MOUNT SOPHIA SUITES,1 Jan 2023,8.57
ILLUMINAIRE ON DEVONSHIRE,1 Jan 2023,6.54
LEONIE GARDENS,1 Jan 2023,3.98
THE TATE RESIDENCES,1 Jan 2023,5.95
PARC EMILY,1 Jan 2023,4.00
ONE DEVONSHIRE,1 Jan 2023,6.19
BELLE VUE RESIDENCES,1 Jan 2023,3.66
PATERSON SUITES,1 Jan 2023,8.00
CENTENNIA SUITES,1 Jan 2023,6.40
THE CLAYMORE,1 Jan 2023,5.74
THE LIGHT @ CAIRNHILL,1 Jan 2023,5.45
ONE CLAYMORE,1 Jan 2023,3.43
CAIRNHILL NINE,1 Jan 2023,9.33
UE SQUARE,1 Jan 2023,5.24
MARTIN PLACE RESIDENCES,1 Jan 2023,6.83
THE INSPIRA,1 Jan 2023,5.36
CAVENAGH LODGE,1 Jan 2023,3.10
DEVONSHIRE BUILDING,1 Jan 2023,2.82
MARTIN PLACE RESIDENCES,1 Jan 2023,4.86
ILLUMINAIRE ON DEVONSHIRE,1 Jan 2023,8.44
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,8.62
LLOYD MANSION,1 Jan 2023,4.09
RICHMOND PARK,1 Jan 2023,4.40
THE BOUTIQ,1 Jan 2023,7.38
THE BAYRON,1 Jan 2023,4.57
ESPADA,1 Jan 2023,7.38
VIDA,1 Jan 2023,7.45
RIVERGATE,1 Jan 2023,6.97
1919,1 Jan 2023,6.27
VISIONCREST,1 Jan 2023,6.32
VIVACE,1 Jan 2023,9.14
ESTILO,1 Jan 2023,7.44
LEONIE SUITES,1 Jan 2023,6.32
THE SCOTTS TOWER,1 Jan 2023,6.00
BELLE VUE RESIDENCES,1 Jan 2023,7.44
TRIBECA,1 Jan 2023,6.55
RIVERGATE,1 Jan 2023,6.45
UE SQUARE,1 Jan 2023,7.69
PATERSON SUITES,1 Jan 2023,4.65
THE INSPIRA,1 Jan 2023,4.96
MACKENZIE 138,1 Jan 2023,4.67
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,2.06
RESIDENCES @ KILLINEY,1 Jan 2023,6.30
SOPHIA HILLS,1 Jan 2023,6.19
THE LAURELS,1 Jan 2023,7.65
RIVERGATE,1 Jan 2023,7.52
SCOTTS SQUARE,1 Jan 2023,7.69
EMILY RESIDENCE,1 Jan 2023,6.18
SOPHIA HILLS,1 Jan 2023,8.36
TRIBECA,1 Jan 2023,5.19
THE METZ,1 Jan 2023,8.18
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,4.71
THE INSPIRA,1 Jan 2023,5.05
MIRAGE TOWER,1 Jan 2023,7.27
UE SQUARE,1 Jan 2023,4.00
THE COSMOPOLITAN,1 Jan 2023,6.09
THE LAURELS,1 Jan 2023,7.53
ESPADA,1 Jan 2023,9.56
WATERMARK ROBERTSON QUAY,1 Jan 2023,6.38
LIV ON SOPHIA,1 Jan 2023,7.08
HILLTOPS,1 Jan 2023,10.29
UE SQUARE,1 Jan 2023,4.35
LEONIE CONDOTEL,1 Jan 2023,5.06
SUITES @ CAIRNHILL,1 Jan 2023,6.78
CAIRNHILL PLAZA,1 Jan 2023,3.09
THE COSMOPOLITAN,1 Jan 2023,6.07
RIVER VALLEY COURT,1 Jan 2023,3.48
THE COSMOPOLITAN,1 Jan 2023,6.30
MARTIN PLACE RESIDENCES,1 Jan 2023,6.73
LLOYD SIXTYFIVE,1 Jan 2023,6.67
MARTIN NO 38,1 Jan 2023,6.00
HORIZON TOWERS,1 Jan 2023,2.75
THE ORCHARD RESIDENCES,1 Jan 2023,10.23
OUE TWIN PEAKS,1 Jan 2023,9.45
WATERFORD RESIDENCE,1 Jan 2023,6.07
LANGSTON VILLE,1 Jan 2023,4.53
HORIZON TOWERS,1 Jan 2023,4.63
THE SCOTTS TOWER,1 Jan 2023,7.69
CAIRNHILL NINE,1 Jan 2023,7.05
LLOYD SIXTYFIVE,1 Jan 2023,6.12
THE OXLEY,1 Jan 2023,5.54
LEONIE CONDOTEL,1 Jan 2023,4.78
NEWTON EDGE,1 Jan 2023,4.31
DEVONSHIRE 12,1 Jan 2023,7.78
REIGNWOOD HAMILTON SCOTTS,1 Jan 2023,5.82
WATERSCAPE AT CAVENAGH,1 Jan 2023,5.48
HILLTOPS,1 Jan 2023,8.39
8 @ MOUNT SOPHIA,1 Jan 2023,5.41
URBAN SUITES,1 Jan 2023,7.07
ORCHARD SCOTTS,1 Jan 2023,4.05
LIV ON WILKIE,1 Jan 2023,6.55
RIVERDALE RESIDENCE,1 Jan 2023,3.33
DEVONSHIRE RESIDENCES,1 Jan 2023,10.42
VALLEY HOUSE,1 Jan 2023,3.33
CAIRNHILL NINE,1 Jan 2023,8.23
PARC SOPHIA,1 Jan 2023,5.09
LANGSTON VILLE,1 Jan 2023,4.53
ESPADA,1 Jan 2023,10.71
CENTENNIA SUITES,1 Jan 2023,7.30
WATERMARK ROBERTSON QUAY,1 Jan 2023,4.39
THE PEAK @ CAIRNHILL II,1 Jan 2023,6.84
OUE TWIN PEAKS,1 Jan 2023,8.27
THE VERMONT ON CAIRNHILL,1 Jan 2023,6.47
THE VERMONT ON CAIRNHILL,1 Jan 2023,6.53
THE TRILLIUM,1 Jan 2023,6.67
SCOTTS SQUARE,1 Jan 2023,10.00
RIVERGATE,1 Jan 2023,6.50
ASPEN HEIGHTS,1 Jan 2023,5.35
THE BOUTIQ,1 Jan 2023,5.14
DEVONSHIRE RESIDENCES,1 Jan 2023,8.44
VIDA,1 Jan 2023,6.00
SOPHIA RESIDENCE,1 Jan 2023,5.23
THE CENTREPOINT,1 Jan 2023,8.58
WILKIE 80,1 Jan 2023,9.43
THE COSMOPOLITAN,1 Jan 2023,5.93
URBAN RESORT CONDOMINIUM,1 Jan 2023,5.12
PARC SOPHIA,1 Jan 2023,8.22
WILKIE 80,1 Jan 2023,6.31
MARTIN PLACE RESIDENCES,1 Jan 2023,5.20
THE INSPIRA,1 Jan 2023,5.36
CAVENAGH LODGE,1 Jan 2023,2.97
ASPEN HEIGHTS,1 Jan 2023,5.48
THE SCOTTS TOWER,1 Jan 2023,6.35
PARC EMILY,1 Jan 2023,4.74
OUE TWIN PEAKS,1 Jan 2023,8.73
SOPHIA HILLS,1 Jan 2023,6.86
8 @ MOUNT SOPHIA,1 Jan 2023,5.18
ASPEN HEIGHTS,1 Jan 2023,5.90
ESPADA,1 Jan 2023,10.86
MARTIN MODERN,1 Jan 2023,12.35
URBANA,1 Jan 2023,6.07
CLAREMONT,1 Jan 2023,4.83
CAVENAGH HOUSE,1 Jan 2023,4.11
STARLIGHT SUITES,1 Jan 2023,6.36
RIVERSHIRE,1 Jan 2023,4.72
RIVERGATE,1 Jan 2023,8.06
OUE TWIN PEAKS,1 Jan 2023,8.36
MACKENZIE 138,1 Jan 2023,4.46
SOPHIA RESIDENCE,1 Jan 2023,5.37
WATERSCAPE AT CAVENAGH,1 Jan 2023,5.71
TRIBECA,1 Jan 2023,4.95
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,6.67
OUE TWIN PEAKS,1 Jan 2023,9.64
RIVERGATE,1 Jan 2023,7.10
VIVACE,1 Jan 2023,7.38
ELIZABETH TOWER,1 Jan 2023,4.92
PARC EMILY,1 Jan 2023,7.64
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,7.38
THE CATHAY RESIDENCE,1 Jan 2023,5.80
CAIRNHILL NINE,1 Jan 2023,8.53
PARC SOPHIA,1 Jan 2023,4.62
THE SCOTTS TOWER,1 Jan 2023,8.92
VISIONCREST,1 Jan 2023,6.94
ASPEN LINQ,1 Jan 2023,7.22
8 @ MOUNT SOPHIA,1 Jan 2023,6.47
PARC SOPHIA,1 Jan 2023,5.92
GRANGE HEIGHTS,1 Jan 2023,4.52
THE SUITES AT CENTRAL,1 Jan 2023,5.60
THE MKZ,1 Jan 2023,8.00
MARTIN MODERN,1 Jan 2023,9.05
ROBERTSON EDGE,1 Jan 2023,7.33
URBANA,1 Jan 2023,5.93
THE ORCHARD RESIDENCES,1 Jan 2023,7.03
ONE OXLEY RISE,1 Jan 2023,6.00
RIVERGATE,1 Jan 2023,7.43
LEONIE CONDOTEL,1 Jan 2023,4.18
SKYLINE 360 @ SAINT THOMAS WALK,1 Jan 2023,5.03
NEWTON EDGE,1 Jan 2023,5.87
THE VERV @ RV,1 Jan 2023,4.76
MACKENZIE 88,1 Jan 2023,5.33
VIDA,1 Jan 2023,8.18
THE SCOTTS TOWER,1 Jan 2023,7.08
THE PIER AT ROBERTSON,1 Jan 2023,7.69
MIRAGE TOWER,1 Jan 2023,4.64
THE BOUTIQ,1 Jan 2023,7.27
THE WHARF RESIDENCE,1 Jan 2023,5.11
TOP TEN,1 Jan 2023,4.42
THE LIGHT @ CAIRNHILL,1 Jan 2023,6.22
MIRAGE TOWER,1 Jan 2023,5.04
THE BOTANIC ON LLOYD,1 Jan 2023,5.85
KIM SIA COURT,1 Jan 2023,3.10
THE PIER AT ROBERTSON,1 Jan 2023,7.62
OUE TWIN PEAKS,1 Jan 2023,7.62
ONE CLAYMORE,1 Jan 2023,2.46
THE ORCHARD RESIDENCES,1 Jan 2023,11.63
THE CENTREPOINT,1 Jan 2023,8.29
UP@ROBERTSON QUAY,1 Jan 2023,7.56
THE TRILLIUM,1 Jan 2023,6.00
8 HULLET,1 Jan 2023,9.69
LEONIE CONDOTEL,1 Jan 2023,4.40
CAVENAGH COURT,1 Jan 2023,4.05
BELLE VUE RESIDENCES,1 Jan 2023,5.79
SOPHIA HILLS,1 Jan 2023,8.18
THE SCOTTS TOWER,1 Jan 2023,6.00
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,6.00
PARC SOPHIA,1 Jan 2023,7.08
ROBERTSON 100,1 Jan 2023,5.13
THE IMPERIAL,1 Jan 2023,5.79
ORCHARD SCOTTS,1 Jan 2023,4.43
TIARA,1 Jan 2023,3.52
VIDA,1 Jan 2023,7.47
THE SCOTTS TOWER,1 Jan 2023,7.69
SOPHIA HILLS,1 Jan 2023,8.55
ST THOMAS SUITES,1 Jan 2023,5.68
VIVACE,1 Jan 2023,7.78
THE SCOTTS TOWER,1 Jan 2023,8.00
OLEANAS RESIDENCE,1 Jan 2023,5.60
8 RODYK,1 Jan 2023,6.53
THE VERMONT ON CAIRNHILL,1 Jan 2023,5.95
PARC EMILY,1 Jan 2023,5.69
THE SUITES AT CENTRAL,1 Jan 2023,6.90
RIVERGATE,1 Jan 2023,6.55
ESPADA,1 Jan 2023,11.14
STARLIGHT SUITES,1 Jan 2023,6.12
THE QUAYSIDE,1 Jan 2023,4.52
TRIBECA,1 Jan 2023,4.38
CAIRNHILL ASTORIA,1 Jan 2023,3.33
REIGNWOOD HAMILTON SCOTTS,1 Jan 2023,5.64
THE REGALIA,1 Jan 2023,3.36
8 SAINT THOMAS,1 Jan 2023,9.73
HORIZON TOWERS,1 Jan 2023,4.17
PARC SOPHIA,1 Jan 2023,6.40
THE PIER AT ROBERTSON,1 Jan 2023,5.81
ESPADA,1 Jan 2023,11.14
THE SCOTTS TOWER,1 Jan 2023,7.69
MIRAGE TOWER,1 Jan 2023,4.81
RIVERGATE,1 Jan 2023,7.43
THE LAURELS,1 Jan 2023,8.47
THE BOUTIQ,1 Jan 2023,7.27
VISIONCREST,1 Jan 2023,4.63
ESPADA,1 Jan 2023,10.29
ASPEN HEIGHTS,1 Jan 2023,5.81
2 RVG,1 Jan 2023,6.15
VIDA,1 Jan 2023,5.06
THE METZ,1 Jan 2023,9.27
SOPHIA HILLS,1 Jan 2023,6.53
CLAREMONT,1 Jan 2023,4.78
WILKIE 80,1 Jan 2023,7.56
THE SCOTTS TOWER,1 Jan 2023,8.46
ASPEN HEIGHTS,1 Jan 2023,5.94
OLEANAS RESIDENCE,1 Jan 2023,3.60
THE INSPIRA,1 Jan 2023,6.58
THE VERMONT ON CAIRNHILL,1 Jan 2023,6.22
THE PIER AT ROBERTSON,1 Jan 2023,7.38
TIARA,1 Jan 2023,4.45
SAPPHIRE 99,1 Jan 2023,5.33
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,7.69
OUE TWIN PEAKS,1 Jan 2023,6.91
THE SCOTTS TOWER,1 Jan 2023,7.69
SOPHIA RESIDENCE,1 Jan 2023,5.14
THE MKZ,1 Jan 2023,6.55
PARC EMILY,1 Jan 2023,5.05
ONE OXLEY RISE,1 Jan 2023,6.09
RIVERGATE,1 Jan 2023,4.86
ORCHARD SCOTTS,1 Jan 2023,5.73
VISIONCREST,1 Jan 2023,5.47
ORCHARD SCOTTS,1 Jan 2023,5.49
WATERSCAPE AT CAVENAGH,1 Jan 2023,5.45
LIV ON SOPHIA,1 Jan 2023,6.18
MOUNT SOPHIA SUITES,1 Jan 2023,6.67
RIVERGATE,1 Jan 2023,6.45
LANGSTON VILLE,1 Jan 2023,3.58
PARC MACKENZIE,1 Jan 2023,4.94
CAVENAGH GARDENS,1 Jan 2023,3.47
WATERMARK ROBERTSON QUAY,1 Jan 2023,7.29
ONE CLAYMORE,1 Jan 2023,2.18
RIVERSHIRE,1 Jan 2023,4.24
CAIRNHILL CREST,1 Jan 2023,4.45
VALLEY LODGE,1 Jan 2023,2.97
UE SQUARE,1 Jan 2023,2.97
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,5.68
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,2.13
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,3.76
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,2.86
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,3.60
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,13.09
NON-LANDED HOUSING DEVELOPMENT,1 Jan 2023,2.03
THE LIGHT @ CAIRNHILL,1 Jan 2023,4.71
SCOTTS 28,1 Jan 2023,3.87
MARTIN MODERN,1 Jan 2023,8.89
RIVERGATE,1 Jan 2023,8.11
SUITES AT ORCHARD,1 Jan 2023,7.82
GAMBIER COURT,1 Jan 2023,3.86
WATERSCAPE AT CAVENAGH,1 Jan 2023,4.35
VALLEY HOUSE,1 Jan 2023,3.03
THE CENTREPOINT,1 Jan 2023,4.17
ELIZABETH TOWER,1 Jan 2023,3.33
SCOTTS SQUARE,1 Jan 2023,9.69
SKYPARK,1 Jan 2023,5.97
TRIBECA,1 Jan 2023,4.30
UE SQUARE,1 Jan 2023,6.36
URBAN SUITES,1 Jan 2023,6.59
ORCHARD SCOTTS,1 Jan 2023,5.03
8 SAINT THOMAS,1 Jan 2023,6.71
CITYVISTA RESIDENCES,1 Jan 2023,4.91
WATERSCAPE AT CAVENAGH,1 Jan 2023,3.48
MARTIN MODERN,1 Jan 2023,8.82
ASPEN HEIGHTS,1 Jan 2023,4.85
UE SQUARE,1 Jan 2023,3.30
THE TRILLIUM,1 Jan 2023,4.80
ASPEN LINQ,1 Jan 2023,5.07
MARTIN NO 38,1 Jan 2023,7.37
NEWTON EDGE,1 Jan 2023,5.58
SOPHIA HILLS,1 Jan 2023,4.55
THE VERMONT ON CAIRNHILL,1 Jan 2023,6.29
VISIONCREST,1 Jan 2023,5.79
PARC SOPHIA,1 Jan 2023,6.15
THE SCOTTS TOWER,1 Jan 2023,8.15
ORCHARD COURT,1 Jan 2023,3.24
MIRAGE TOWER,1 Jan 2023,3.60
THE OXLEY,1 Jan 2023,3.88
THE PATERSON EDGE,1 Jan 2023,6.30
ST THOMAS SUITES,1 Jan 2023,5.03
RICHMOND PARK,1 Jan 2023,4.48
ASPEN HEIGHTS,1 Jan 2023,4.52
8 @ MOUNT SOPHIA,1 Jan 2023,5.53
THE CLAYMORE,1 Jan 2023,4.19
CASA CAIRNHILL,1 Jan 2023,2.58
8 @ MOUNT SOPHIA,1 Jan 2023,4.95
OUE TWIN PEAKS,1 Jan 2023,8.15
WATERMARK ROBERTSON QUAY,1 Jan 2023,5.71
PARC EMILY,1 Jan 2023,5.24
WILKIE 48,1 Jan 2023,4.59
DEVONSHIRE RESIDENCES,1 Jan 2023,6.55
LEONIE CONDOTEL,1 Jan 2023,3.85
THE MARQ ON PATERSON HILL,1 Jan 2023,13.77
URBAN SUITES,1 Jan 2023,5.15
8 SAINT THOMAS,1 Jan 2023,8.82
YONG AN PARK,1 Jan 2023,3.78
THE BOUTIQ,1 Jan 2023,5.88
CAVENAGH FORTUNA,1 Jan 2023,2.43
RIVERGATE,1 Jan 2023,6.48
CAVENAGH FORTUNA,1 Jan 2023,5.08
WILKIE STUDIO,1 Jan 2023,5.06
THE WHARF RESIDENCE,1 Jan 2023,6.95
CAIRNHILL NINE,1 Jan 2023,8.40
SAM KIANG MANSIONS,1 Jan 2023,4.28
SOPHIA RESIDENCE,1 Jan 2023,5.90
KIM SIA COURT,1 Jan 2023,3.81
